epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12420.9,0.53354,0.50073,1.03881,0.76303,0.59052,0.65714,0.51919,0.9021,1.14048,1.27614,0.0005941,0.0005941,0.0005941
43,12715.7,0.5277,0.4935,1.04229,0.81299,0.56863,0.65784,0.52178,0.90112,1.15496,1.27883,0.0005842,0.0005842,0.0005842
44,13010.8,0.52577,0.48879,1.03906,0.7968,0.57335,0.66125,0.51766,0.90555,1.16567,1.28219,0.0005743,0.0005743,0.0005743
45,13305.7,0.52337,0.48282,1.03886,0.74481,0.59008,0.6597,0.51864,0.90549,1.16939,1.28561,0.0005644,0.0005644,0.0005644
46,13600.3,0.51837,0.47288,1.04075,0.69551,0.62769,0.66109,0.51806,0.9046,1.16756,1.28639,0.0005545,0.0005545,0.0005545
47,13895.1,0.51596,0.47355,1.03302,0.71413,0.61267,0.65809,0.51782,0.90806,1.16283,1.29552,0.0005446,0.0005446,0.0005446
48,14189.1,0.51985,0.46911,1.03436,0.62133,0.6278,0.65531,0.51885,0.90729,1.15928,1.29364,0.0005347,0.0005347,0.0005347
49,14483.4,0.51383,0.45939,1.03141,0.65515,0.60974,0.65198,0.5175,0.90903,1.16112,1.29497,0.0005248,0.0005248,0.0005248
50,14778.3,0.51261,0.46323,1.03008,0.63011,0.62977,0.6558,0.51907,0.91112,1.16046,1.30034,0.0005149,0.0005149,0.0005149
51,15072.7,inf,0.45213,1.02384,0.64213,0.6346,0.65654,0.51977,0.91028,1.16097,1.2993,0.000505,0.000505,0.000505
52,15367.1,0.50483,0.44476,1.02509,0.64239,0.62768,0.65802,0.51989,0.90999,1.15929,1.30054,0.0004951,0.0004951,0.0004951
53,15662,0.50683,0.44472,1.02528,0.65491,0.63042,0.66149,0.5221,0.91134,1.16416,1.3024,0.0004852,0.0004852,0.0004852
54,15957.2,0.49414,0.43497,1.01844,0.6495,0.63733,0.66545,0.5242,0.91167,1.16479,1.30297,0.0004753,0.0004753,0.0004753
55,16252.2,0.49551,0.43346,1.02239,0.66134,0.63226,0.67107,0.52871,0.91306,1.163,1.30648,0.0004654,0.0004654,0.0004654
56,16547.7,0.49506,0.43247,1.01713,0.6608,0.63318,0.67079,0.5264,0.91278,1.16565,1.30725,0.0004555,0.0004555,0.0004555
57,16842.3,0.48841,0.42478,1.01519,0.65601,0.63164,0.66687,0.52643,0.91353,1.1702,1.30816,0.0004456,0.0004456,0.0004456
58,17136.8,0.49169,0.42261,1.01502,0.72788,0.62129,0.66849,0.52832,0.91189,1.17277,1.30643,0.0004357,0.0004357,0.0004357
59,17431.7,0.48539,0.41778,1.00991,0.72783,0.6236,0.67173,0.53136,0.91185,1.17729,1.30485,0.0004258,0.0004258,0.0004258
60,17726.7,0.47653,0.41114,1.0098,0.73146,0.62347,0.67408,0.53211,0.91194,1.17819,1.30451,0.0004159,0.0004159,0.0004159
61,18021.9,0.48312,0.41283,1.00848,0.7281,0.6257,0.67291,0.53028,0.91179,1.18099,1.3041,0.000406,0.000406,0.000406
62,18316.8,0.47553,0.40467,1.00787,0.74643,0.62065,0.67206,0.53004,0.91233,1.18352,1.30524,0.0003961,0.0003961,0.0003961
63,18611.7,0.4772,0.40065,1.01046,0.67941,0.62494,0.67069,0.52986,0.91212,1.18652,1.30563,0.0003862,0.0003862,0.0003862
64,18906,0.47187,0.39835,1.00437,0.67709,0.622,0.66783,0.52755,0.91268,1.1877,1.30717,0.0003763,0.0003763,0.0003763
65,19200.6,0.46477,0.39651,1.00564,0.66295,0.62003,0.66604,0.52621,0.91276,1.19184,1.30788,0.0003664,0.0003664,0.0003664
66,19495,0.4647,0.39086,1.00329,0.73936,0.61004,0.66607,0.52616,0.91397,1.19283,1.31017,0.0003565,0.0003565,0.0003565
67,19789.7,0.47193,0.39037,1.00515,0.7445,0.60984,0.66586,0.52646,0.91343,1.1955,1.31037,0.0003466,0.0003466,0.0003466
68,20084.1,0.46707,0.38362,0.99907,0.7522,0.60122,0.66619,0.52785,0.91344,1.19408,1.31118,0.0003367,0.0003367,0.0003367
69,20378.9,0.46231,0.38056,0.9977,0.759,0.60043,0.66495,0.52696,0.91445,1.19579,1.31283,0.0003268,0.0003268,0.0003268
70,20673.9,0.46042,0.37538,0.9984,0.76703,0.59714,0.66235,0.5263,0.91499,1.19673,1.31447,0.0003169,0.0003169,0.0003169
71,20968.8,0.45536,0.37187,0.99156,0.77118,0.59796,0.6633,0.52687,0.91573,1.19733,1.31597,0.000307,0.000307,0.000307
72,21262.9,0.45406,0.37085,0.99509,0.7631,0.60628,0.66381,0.52744,0.9154,1.19557,1.31541,0.0002971,0.0002971,0.0002971
73,21557.3,0.45129,0.36395,0.98845,0.76325,0.60873,0.66414,0.5268,0.91565,1.19645,1.31615,0.0002872,0.0002872,0.0002872
74,21851.7,0.44239,0.36162,0.98793,0.76563,0.60719,0.66468,0.527,0.9161,1.19718,1.3166,0.0002773,0.0002773,0.0002773
75,22146.5,inf,0.36385,0.98875,0.7648,0.60854,0.66472,0.52705,0.91708,1.19888,1.31789,0.0002674,0.0002674,0.0002674
76,22440.9,0.44683,0.35612,0.98784,0.76461,0.61067,0.66541,0.52789,0.91667,1.20149,1.31713,0.0002575,0.0002575,0.0002575
77,22735.4,0.44168,0.3532,0.987,0.76473,0.61127,0.66598,0.52826,0.91666,1.20209,1.31743,0.0002476,0.0002476,0.0002476
78,23030.2,0.44102,0.3516,0.98719,0.76457,0.61152,0.66615,0.5283,0.91743,1.20439,1.31833,0.0002377,0.0002377,0.0002377
79,23324.6,0.43743,0.34922,0.98561,0.76419,0.61165,0.66603,0.52783,0.918,1.20515,1.31906,0.0002278,0.0002278,0.0002278
80,23619.2,0.43672,0.34832,0.98334,0.76663,0.61159,0.66547,0.52839,0.91975,1.20715,1.32148,0.0002179,0.0002179,0.0002179
81,23913.9,0.43253,0.34102,0.98109,0.77081,0.60776,0.66503,0.52859,0.91952,1.20708,1.32145,0.000208,0.000208,0.000208
82,24208.3,0.43085,0.3376,0.98092,0.77156,0.60718,0.66433,0.52825,0.91905,1.2081,1.32128,0.0001981,0.0001981,0.0001981
83,24502.8,0.43281,0.34117,0.98044,0.77985,0.60444,0.66454,0.52809,0.92032,1.20834,1.3236,0.0001882,0.0001882,0.0001882
84,24796.8,0.4254,0.33266,0.97753,0.7827,0.60227,0.66525,0.52856,0.92091,1.21038,1.3245,0.0001783,0.0001783,0.0001783
85,25091.7,0.42607,0.33097,0.97529,0.78349,0.60376,0.66646,0.52927,0.92178,1.21175,1.3257,0.0001684,0.0001684,0.0001684
86,25386.3,0.41848,0.32531,0.97423,0.78354,0.60145,0.66563,0.52917,0.92214,1.2144,1.32649,0.0001585,0.0001585,0.0001585
87,25681,0.41919,0.32657,0.96916,0.78285,0.60223,0.6648,0.5286,0.92334,1.21642,1.32795,0.0001486,0.0001486,0.0001486
88,25975.7,0.42327,0.32462,0.97017,0.77926,0.60429,0.66483,0.52873,0.92409,1.21846,1.32947,0.0001387,0.0001387,0.0001387
89,26270.5,0.41794,0.32146,0.96884,0.77922,0.60422,0.6637,0.52792,0.92434,1.21945,1.33003,0.0001288,0.0001288,0.0001288
90,26565.1,0.41373,0.3193,0.96888,0.77598,0.60546,0.66356,0.52791,0.92492,1.22211,1.33065,0.0001189,0.0001189,0.0001189
91,26861.5,0.40984,0.25629,0.94255,0.77536,0.60686,0.66426,0.52888,0.92388,1.22158,1.32898,0.000109,0.000109,0.000109
92,27155.9,0.40201,0.24387,0.93515,0.77655,0.60534,0.6646,0.5295,0.92398,1.2224,1.32959,9.91e-05,9.91e-05,9.91e-05
93,27450.3,0.39843,0.24334,0.9339,0.77304,0.60871,0.66414,0.5291,0.92447,1.22459,1.33042,8.92e-05,8.92e-05,8.92e-05
94,27744.5,0.39179,0.23753,0.93056,0.77126,0.60956,0.66512,0.5295,0.92464,1.22368,1.33136,7.93e-05,7.93e-05,7.93e-05
95,28038.8,0.39098,0.23536,0.92722,0.77958,0.60882,0.66424,0.52934,0.92441,1.22615,1.33166,6.94e-05,6.94e-05,6.94e-05
96,28333,0.38883,0.23437,0.92828,0.78072,0.6082,0.66361,0.52899,0.92478,1.22765,1.3326,5.95e-05,5.95e-05,5.95e-05
97,28627.5,0.38395,0.2307,0.92838,0.78082,0.6083,0.66435,0.52956,0.92499,1.23009,1.33321,4.96e-05,4.96e-05,4.96e-05
98,28921.7,inf,0.22864,0.92678,0.77947,0.60878,0.66408,0.52963,0.92523,1.2312,1.33452,3.97e-05,3.97e-05,3.97e-05
99,29216.1,0.38025,0.22727,0.92524,0.77637,0.61046,0.6658,0.53005,0.92514,1.23251,1.33536,2.98e-05,2.98e-05,2.98e-05
100,29510.6,0.37812,0.2252,0.92408,0.77697,0.61023,0.66491,0.52921,0.92562,1.23497,1.33654,1.99e-05,1.99e-05,1.99e-05
